Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 10,14,Poor (300-579),2057.5235511331603,0.18896447467876043
Merchant 10,15,Exceptional (800-850),2413.30550178804,0.18896447467876043
Merchant 10,15,Very Good (740-799),4373.588335407151,0.18896447467876043
Merchant 10,15,Good (670-739),6002.934270753705,0.18896447467876043
Merchant 10,15,Fair (580-669),4776.701726574418,0.18896447467876043
Merchant 10,15,Poor (300-579),2446.3224081122157,0.18896447467876043
Merchant 10,16,Exceptional (800-850),2869.3345081727794,0.18896447467876043
Merchant 10,16,Very Good (740-799),5200.041157668517,0.18896447467876043
Merchant 10,16,Good (670-739),7137.275591757807,0.18896447467876043
Merchant 10,16,Fair (580-669),5679.328659033681,0.18896447467876043
Merchant 10,16,Poor (300-579),2908.590436856021,0.18896447467876043
Merchant 10,17,Exceptional (800-850),3411.536796187288,0.18896447467876043
Merchant 10,17,Very Good (740-799),6182.664203335282,0.18896447467876043
Merchant 10,17,Good (670-739),8485.96712459186,0.18896447467876043
Merchant 10,17,Fair (580-669),6752.520015616009,0.18896447467876043
Merchant 10,17,Poor (300-579),3458.210700812185,0.18896447467876043
Merchant 10,18,Exceptional (800-850),4056.19605472608,0.18896447467876043
Merchant 10,18,Very Good (740-799),7350.96809663371,0.18896447467876043
Merchant 10,18,Good (670-739),10089.513444431592,0.18896447467876043
Merchant 10,18,Fair (580-669),8028.506413124704,0.18896447467876043
Merchant 10,18,Poor (300-579),4111.689669219628,0.18896447467876043
Merchant 10,19,Exceptional (800-850),4822.6730114014545,0.18896447467876043
Merchant 10,19,Very Good (740-799),8740.039921394427,0.18896447467876043
Merchant 10,19,Good (670-739),11996.073052222899,0.18896447467876043
Merchant 10,19,Fair (580-669),9545.608909935872,0.18896447467876043
Merchant 10,19,Poor (300-579),4888.652947605801,0.18896447467876043
Merchant 10,20,Exceptional (800-850),5733.986883548366,0.18896447467876043
Merchant 10,20,Very Good (740-799),10391.596973812118,0.18896447467876043
Merchant 10,20,Good (670-739),14262.904694744231,0.18896447467876043
Merchant 10,20,Fair (580-669),11349.389883090798,0.18896447467876043
Merchant 10,20,Poor (300-579),5812.434683736905,0.18896447467876043
Merchant 10,21,Exceptional (800-850),6817.506702812985,0.18896447467876043
Merchant 10,21,Very Good (740-799),12355.239637041923,0.18896447467876043
Merchant 10,21,Good (670-739),16958.086987779803,0.18896447467876043
Merchant 10,21,Fair (580-669),13494.02138027349,0.18896447467876043
Merchant 10,21,Poor (300-579),6910.778350353856,0.18896447467876043
Merchant 2,14,Exceptional (800-850),6864.5433566831425,0.049068695666206454
Merchant 2,14,Very Good (740-799),8870.241585076188,0.049068695666206454
Merchant 2,14,Good (670-739),6368.934880072532,0.049068695666206454
Merchant 2,14,Fair (580-669),3872.3333188341676,0.049068695666206454
Merchant 2,14,Poor (300-579),1673.201402312509,0.049068695666206454
Merchant 2,15,Exceptional (800-850),7201.377545539709,0.049068695666206454
Merchant 2,15,Very Good (740-799),9305.492769900022,0.049068695666206454
Merchant 2,15,Good (670-739),6681.450207420699,0.049068695666206454
Merchant 2,15,Fair (580-669),4062.343663974154,0.049068695666206454
Merchant 2,15,Poor (300-579),1755.3032127108515,0.049068695666206454
Merchant 2,16,Exceptional (800-850),7554.739748699249,0.049068695666206454
Merchant 2,16,Very Good (740-799),9762.10116265033,0.049068695666206454
Merchant 2,16,Good (670-739),7009.300254257537,0.049068695666206454
Merchant 2,16,Fair (580-669),4261.677568913243,0.049068695666206454
Merchant 2,16,Poor (300-579),1841.4336518572748,0.049068695666206454
Merchant 2,17,Exceptional (800-850),7925.440974265565,0.049068695666206454
Merchant 2,17,Very Good (740-799),10241.114733663138,0.049068695666206454
Merchant 2,17,Good (670-739),7353.237475266764,0.049068695666206454
Merchant 2,17,Fair (580-669),4470.792528569746,0.049068695666206454
Merchant 2,17,Poor (300-579),1931.7903993097705,0.049068695666206454
Merchant 2,18,Exceptional (800-850),8314.332025452286,0.049068695666206454
Merchant 2,18,Very Good (740-799),10743.63287581196,0.049068695666206454
Merchant 2,18,Good (670-739),7714.051247101974,0.049068695666206454
Merchant 2,18,Fair (580-669),4690.168486540884,0.049068695666206454
Merchant 2,18,Poor (300-579),2026.580834504401,0.049068695666206454
Merchant 2,19,Exceptional (800-850),8722.305453276998,0.049068695666206454
