Vintage Index,LTV/Account,CAC/Account,New Accounts,LTV/CAC
0,43.610710846734165,90.97014612904576,23883.0,0.4793958535019847
1,55.100546611244305,90.46804051694028,28630.0,0.6090609047835699
2,42.87665219196207,91.69799092676604,50919.0,0.46758551369140916
3,45.15311102590532,91.2722310948475,64493.0,0.4947080890241797
4,57.4775413754227,89.54108104557993,60904.0,0.6419125244441083
5,77.07437498319982,88.82856765128051,105896.0,0.8676755352599537
6,86.82629494518935,87.88043871278775,124455.0,0.9880047962545616
7,91.5201096092872,87.9997843258836,185465.0,1.0400037944453027
8,70.63967196212585,88.93910545478839,149685.0,0.7942476102150033
9,79.34542143436569,88.81234926258725,187412.0,0.893405276328958
10,80.395676497775,88.16405858160297,199380.0,0.9118871997409499
11,80.91427261123746,87.9778354964643,252566.0,0.9197120178580581
12,62.63943482742338,87.76880913050007,186452.0,0.7136867350482927
13,79.44554691663629,88.24502124150789,223148.0,0.9002836171256698
14,75.44674163950604,87.82624937952443,236658.5471758847,0.8590454695779767
15,75.8118349739285,87.77406024888172,251247.16813656077,0.8637157123524358
16,76.37341418636277,87.717625357463,267040.27963456436,0.8706735262739864
17,74.52079560934253,87.6566337421321,284184.053131121,0.8501443921354256
18,74.81995980163519,87.59077854496118,302847.92186704505,0.8541990497690278
19,75.00436422809395,87.51976465415733,323228.73802361457,0.8569991535566946
20,75.20594360173948,87.44331781226012,345555.70209600916,0.8600536379830171
21,72.88927983955695,87.36119516252268,370096.20963661507,0.8343438949519537
